Symbol_unique,SeqId,coef,abs coef,intercept,mean,std_dev,assay,5k_to_7k_scale,11k_to_7k_scale
CST1,5459-33,0.012055668,0.012055668,0.818119806,2.836143643,0.184131785,7k,,1.009
GAS1,5463-22,0.012482248,0.012482248,0.818119806,3.933698111,0.126085377,7k,,0.908
SPON1.2,5496-49,0.036033457,0.036033457,0.818119806,4.010890697,0.096662697,7k,,0.833
GREM2,5598-3,-0.001658379,0.001658379,0.818119806,3.67532508,0.102602229,7k,,1.028
TAFA5,5609-92,0.002813836,0.002813836,0.818119806,2.811949597,0.101445256,7k,,0.91
MLN,5631-83,0.00414115,0.00414115,0.818119806,3.771454816,0.27612696,7k,,1.069
TREM2.3,5635-66,0.015206687,0.015206687,0.818119806,3.546690635,0.173272727,7k,,0.769
MFAP4,5636-10,-0.014028288,0.014028288,0.818119806,2.955076712,0.152868921,7k,,0.746
TMX3,5654-70,0.005018879,0.005018879,0.818119806,3.232029691,0.096956931,7k,,1.04
SMOC1.2,5694-57,0.030447873,0.030447873,0.818119806,4.362271988,0.128495111,7k,,1.032
OLFM1,5703-26,0.013958698,0.013958698,0.818119806,2.290471058,0.133531077,7k,,0.993
NECTIN4,5734-13,-0.012564573,0.012564573,0.818119806,2.450441313,0.149932646,7k,,0.941
ROBO1,5740-17,-0.004527698,0.004527698,0.818119806,3.675578499,0.125787413,7k,,0.924
ACP6,5742-14,-0.002491094,0.002491094,0.818119806,3.616200521,0.178993571,7k,,0.917
NGF,5801-72,0.002234377,0.002234377,0.818119806,2.610847098,0.15534258,7k,,1.039
IFNGR1,5825-49,-0.003904963,0.003904963,0.818119806,2.696072843,0.132228623,7k,,0.956
SST,5957-30,-0.000569444,0.000569444,0.818119806,2.691633178,0.090560435,7k,,0.777
ADPGK,6221-1,-0.039349343,0.039349343,0.818119806,3.144450861,0.081236773,7k,,0.904
GUCA2B,6223-5,-0.002019067,0.002019067,0.818119806,3.36434387,0.230204635,7k,,1.25
SIRPB1,6247-9,-0.001890255,0.001890255,0.818119806,3.298256945,0.236590591,7k,,0.925
DLK1.1,6373-54,0.024057825,0.024057825,0.818119806,3.289852682,0.166483531,7k,,1.053
C1QL1,6404-20,0.013897466,0.013897466,0.818119806,3.027228026,0.096151408,7k,,0.989
NMES1,6406-3,-0.021950449,0.021950449,0.818119806,3.453505642,0.138697602,7k,,1.532
TIMP4,6462-12,0.045861803,0.045861803,0.818119806,3.541229671,0.145281152,7k,,0.915
IGLON5,6478-2,-0.033100072,0.033100072,0.818119806,3.468304406,0.119791689,7k,,0.927
TMED10,6506-54,-0.017604954,0.017604954,0.818119806,3.127842691,0.145619367,7k,,0.932
MGP,6520-87,0.015910871,0.015910871,0.818119806,3.758131065,0.135020596,7k,,1.171
POSTN.2,6645-53,0.013823086,0.013823086,0.818119806,3.900634366,0.143215142,7k,,0.827
PCDHGA12,6938-21,0.007598727,0.007598727,0.818119806,2.965513326,0.101105784,7k,,1.053
CD2,7100-31,-0.023350976,0.023350976,0.818119806,3.12247259,0.434706141,7k,,1.014
SLITRK4,7139-14,-0.011345759,0.011345759,0.818119806,3.437965683,0.126579577,7k,,1.057
FUT10,7156-2,0.010789472,0.010789472,0.818119806,3.672909714,0.099776493,7k,,1.149
TMEM132C.2,7173-141,0.005803557,0.005803557,0.818119806,3.764370982,0.126641943,7k,,1.062
NPTN,7194-36,0.06161447,0.06161447,0.818119806,3.659882698,0.116564243,7k,,0.949
EPHA7.2,7195-119,-0.00275328,0.00275328,0.818119806,2.886616087,0.071560827,7k,,1.038
FAM20B,7198-197,-0.0380402,0.0380402,0.818119806,2.926461232,0.064993873,7k,,0.832
RNASE1,7211-2,-0.068669651,0.068669651,0.818119806,3.250927133,0.281949485,7k,,1.071
ATP1B2,7218-87,-0.019710427,0.019710427,0.818119806,3.630521077,0.109429887,7k,,0.993
PRG2,7258-5,-0.009090413,0.009090413,0.818119806,2.3957876,0.131654216,7k,,1.129
LRP12.2,7744-10,-8.11996e-05,8.11996e-05,0.818119806,2.999365548,0.191060541,7k,,1.226
KLRC3.2,7795-14,-0.009462577,0.009462577,0.818119806,3.155600008,0.115499755,7k,,1.11
KIR2DL5A.1,7799-3,2.36183e-05,2.36183e-05,0.818119806,2.850577116,0.115452608,7k,,1.003
PGRMC1,7863-50,-0.008982838,0.008982838,0.818119806,4.004453353,0.14860448,7k,,1.007
ADM.2,7922-5,0.013557366,0.013557366,0.818119806,2.744302598,0.158859409,7k,,1.545
SCG3,7957-2,-0.066117126,0.066117126,0.818119806,3.641564545,0.111225146,7k,,0.805
ENTPD1.2,7999-23,0.002714028,0.002714028,0.818119806,3.17961166,0.128760718,7k,,0.846
DNAJB12,8006-12,-0.007867921,0.007867921,0.818119806,3.026465292,0.146278109,7k,,0.776
CTSB.2,8007-19,0.018069874,0.018069874,0.818119806,3.327646403,0.158264781,7k,,1.188
XG,8044-90,0.005218293,0.005218293,0.818119806,2.788898657,0.18193331,7k,,1.357
SPINK1,8243-55,-0.00160648,0.00160648,0.818119806,2.771934056,0.13459109,7k,,0.52
DLL1.2,8264-43,-0.010916456,0.010916456,0.818119806,3.317065663,0.114403865,7k,,0.998
LRP11.3,8330-1,0.025744767,0.025744767,0.818119806,4.2378815,0.123732957,7k,,1.407
EPHB2.2,8348-4,0.024978095,0.024978095,0.818119806,3.509100875,0.119502913,7k,,1.129
NCR1.2,8360-169,-0.008547263,0.008547263,0.818119806,3.01008789,0.144998906,7k,,0.938
IGF1.2,8406-17,-0.008269348,0.008269348,0.818119806,2.295917687,0.128521257,7k,,0.952
NTM.3,8428-102,-0.021624917,0.021624917,0.818119806,3.523997537,0.094855998,7k,,1.009
SOD3.2,8463-2,0.017920574,0.017920574,0.818119806,4.606705346,0.130101579,7k,,0.9
ARL8B,8569-147,-0.008816373,0.008816373,0.818119806,2.809894012,0.092543179,7k,,1.004
BAMBI.3,8811-24,0.005225493,0.005225493,0.818119806,2.918102457,0.1020736,7k,,0.883
GOLM2.2,8838-10,0.026955953,0.026955953,0.818119806,2.991484972,0.091043065,7k,,0.982
QPCTL,8866-53,-0.006052302,0.006052302,0.818119806,3.568306376,0.122709484,7k,,0.889
NEO1,8900-28,-0.030142693,0.030142693,0.818119806,3.574540479,0.073284348,7k,,0.971
PTK2B.2,8918-64,0.013816731,0.013816731,0.818119806,2.973337904,0.068700131,7k,,1.309
GALNT16,8923-94,-0.000194517,0.000194517,0.818119806,3.509930453,0.132465332,7k,,1.254
GOLM1.2,8983-7,0.004877173,0.004877173,0.818119806,3.214623743,0.202305494,7k,,1.112
NPTXR.2,8997-4,-0.114564867,0.114564867,0.818119806,2.889503435,0.158771435,7k,,1.158
PLXNA1,9005-16,0.026560128,0.026560128,0.818119806,3.920158084,0.111370106,7k,,1.138
PRG3,9015-1,-0.002847623,0.002847623,0.818119806,2.988450034,0.15871807,7k,,0.919
FAM3B.2,9177-6,0.039156986,0.039156986,0.818119806,4.176160869,0.151848444,7k,,1.042
CXCL9.2,9188-119,0.004904999,0.004904999,0.818119806,2.646987003,0.214771396,7k,,0.84
TFF2.2,9191-8,-0.006302616,0.006302616,0.818119806,3.80623938,0.168786093,7k,,1.015
POMC.3,9204-33,0.007404777,0.007404777,0.818119806,2.72037002,0.14975038,7k,,0.907
TWSG1,9234-8,0.011870409,0.011870409,0.818119806,3.040078762,0.072403075,7k,,1.041
BTC.2,9242-11,-0.037896933,0.037896933,0.818119806,3.294130672,0.113529584,7k,,1.0
CTSO,9264-11,0.000644885,0.000644885,0.818119806,2.746730201,0.125248404,7k,,1.015
REG3A.2,9277-16,-0.025043045,0.025043045,0.818119806,3.237796756,0.115768518,7k,,1.004
SFRP4.2,9284-25,-0.035153171,0.035153171,0.818119806,3.426322261,0.110910591,7k,,1.018
PTPRD,9296-15,0.148014862,0.148014862,0.818119806,3.659040508,0.118375577,7k,,0.981
TAC1,9337-43,-0.026748268,0.026748268,0.818119806,2.410031833,0.138098131,7k,,1.142
PCDHAC2,9361-7,-0.013097567,0.013097567,0.818119806,2.826451361,0.11443166,7k,,0.985
TPSAB1,9409-11,-0.021067577,0.021067577,0.818119806,4.363418347,0.161362085,7k,,0.864
LMAN2.2,9468-8,0.046119735,0.046119735,0.818119806,3.666061038,0.107503078,7k,,0.914
METTL24,9470-15,-0.002205119,0.002205119,0.818119806,2.73479867,0.1400002,7k,,1.035
DSG2.2,9484-75,0.044393786,0.044393786,0.818119806,2.777977496,0.096088874,7k,,1.025
PIANP.2,9599-6,-0.08381353,0.08381353,0.818119806,3.201642307,0.145867904,7k,,1.104
TIGIT.2,9638-2,-0.000895227,0.000895227,0.818119806,1.947232208,0.188881195,7k,,0.987
TAGLN.2,9756-6,0.00518354,0.00518354,0.818119806,3.422986697,0.155943264,7k,,1.142
SEMA4B,9805-51,-0.0156071,0.0156071,0.818119806,3.033882922,0.125208619,7k,,1.087
KRT1,9931-20,0.02010675,0.02010675,0.818119806,3.175314646,0.128921235,7k,,0.895
UBXN4.1,9970-7,-0.03073548,0.03073548,0.818119806,2.775805252,0.177547702,7k,,1.648
